393831	ISC	1989-09-30 18:19:24	20.24	98.95	14.9	5.8	1	
393700	ISC	1989-09-29 06:16:32	-30.50	28.74	12.0	4.9	1	
393678	ISC	1989-09-28 21:52:20	20.31	98.82	21.6	5.8	2	BURMA1989A
393491	ROM	1989-09-26 16:38:11	38.47	14.65	18.0	2.3	1	
393207	ISC	1989-09-23 17:51:38	22.62	122.02	25.5	5.5	1	
393193	ISC	1989-09-23 13:17:52	37.78	14.93	22.4	4.3	2	
393161	ROM	1989-09-23 08:31:34	37.72	14.92	8.1	2.2	1	
393160	ROM	1989-09-23 08:30:12	37.71	14.92	8.3	2.0	1	
393159	ROM	1989-09-23 08:20:51	37.72	14.89	14.7	2.5	1	
393067	ISC	1989-09-22 02:25:52	31.51	102.49	12.8	6.1	7	XIAOJIN1989
392913	ISC	1989-09-20 00:26:16	25.50	103.31	35.0	4.5	1	
392672	ISC	1989-09-17 00:53:40	40.20	51.76	46.0	6.2	2	
392584	ISC	1989-09-16 02:05:09	40.35	51.60	41.7	6.4	8	
392451	ISC	1989-09-14 14:59:59	37.24	-116.17	0.0	4.2	6	DISKOELMTEST1989
392384	ISC	1989-09-13 21:54:00	45.81	11.20	9.1	4.6	1	
392228	ROM	1989-09-12 01:32:57	38.40	14.78	9.9	2.0	1	
392121	ISC	1989-09-10 13:28:44	21.12	-99.34	24.1	4.7	1	
392015	IPRG	1989-09-09 05:16:50	28.57	34.82	9.0	4.1	1	
391760	ISC	1989-09-05 20:49:35	-11.81	34.38	10.0	5.4	1	
391659	ISC	1989-09-04 13:15:01	55.59	-156.92	18.0	7.0	2	ALASKA1989
391472	ISC	1989-09-02 04:16:58	50.08	78.94	0.0	4.1	9	KAZAKHSTAN-UNE1989E
396448	NEIC	1989-08-30 18:39:08	33.93	-116.60	13.0	3.1	1	
396422	ISC	1989-08-30 11:38:13	55.51	161.45	73.7	5.5	1	
396377	ROM	1989-08-29 22:46:11	38.28	15.71	10.0	2.0	1	
396325	ISC	1989-08-29 04:16:24	17.99	-105.77	17.8	6.5	1	
2798684	PNSN	1989-08-28 18:02:30	45.86	-122.58	13.8	2.6	1	
395931	ISC	1989-08-24 02:13:16	37.98	20.17	23.2	5.2	1	
395724	ISC	1989-08-21 23:12:43	24.10	122.50	43.7	6.2	2	
395619	ISC	1989-08-21 01:09:09	11.78	41.83	19.5	6.4	4	AFAR1989C
395587	ISC	1989-08-20 19:25:58	11.82	41.82	11.3	6.1	4	AFAR1989B
395581	ISC	1989-08-20 18:32:32	37.38	21.33	19.3	5.8	1	
395553	ISC	1989-08-20 11:46:32	11.83	41.90	27.3	6.1	3	AFAR1989A
395380	BUC	1989-08-18 07:26:24	45.96	26.69	10.0	3.9	1	
394516	ISC	1989-08-08 08:13:28	37.13	-121.96	16.0	4.5	2	
394515	ISC	1989-08-08 07:59:07	-40.09	174.40	121.0	5.6	1	
394219	ISC	1989-08-05 06:55:52	76.05	134.27	9.1	5.3	2	
394095	ROM	1989-08-03 17:57:24	37.75	14.98	6.6	2.4	1	
394074	ROM	1989-08-03 13:07:41	37.75	15.01	5.4	2.8	1	
394067	ISC	1989-08-03 11:31:23	23.13	121.85	17.9	6.4	4	TAIWAN1989
394043	ROM	1989-08-03 08:29:56	37.74	15.00	7.7	3.1	1	
394038	ISC	1989-08-03 07:42:43	43.52	45.39	18.0	5.1	1	
393929	PNSN	1989-08-01 23:25:17	45.61	-122.46	14.4	3.9	1	
400732	ISC	1989-07-31 17:07:29	-8.06	121.13	15.9	6.6	1	
400620	ISC	1989-07-30 09:29:17	-52.54	12.92	12.0	5.8	1	SWAFRICA1989
